title,genres,cast,crew,runtime,vote_count,monthFact,actorFact,genFact,budget,revenue,popularity,vote_average,IMDB,rotten,metaC,release_date
Avatar,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Sam Worthington', 1: 'Zoe Saldana', 2: 'Sigourney Weaver', 3: 'Stephen Lang', 4: 'Michelle Rodriguez', 5: 'Giovanni Ribisi', 6: 'Joel David Moore'}",James Cameron,162,11800,0,1,1,237000000,2787965087,150.437577,7.2,0.78,0.83,0.83,2009-12-10
Pirates of the Caribbean: At World's End,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]","{0: 'Johnny Depp', 1: 'Orlando Bloom', 2: 'Keira Knightley', 3: 'Stellan Skarsgård', 4: 'Chow Yun-fat', 5: 'Bill Nighy', 6: 'Geoffrey Rush'}",Gore Verbinski,169,4500,1,1,1,300000000,961000000,139.082615,6.9,0.71,0.45,0.5,2007-05-19
Spectre,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]","{0: 'Daniel Craig', 1: 'Christoph Waltz', 2: 'Léa Seydoux', 3: 'Ralph Fiennes', 4: 'Monica Bellucci', 5: 'Ben Whishaw', 6: 'Naomie Harris'}",Sam Mendes,148,4466,0,1,1,245000000,880674609,107.376788,6.3,0.68,0.63,0.6,2015-10-26
The Dark Knight Rises,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Christian Bale', 1: 'Michael Caine', 2: 'Gary Oldman', 3: 'Anne Hathaway', 4: 'Tom Hardy', 5: 'Marion Cotillard', 6: 'Joseph Gordon-Levitt'}",Christopher Nolan,165,9106,1,1,1,250000000,1084939099,112.31295,7.6,0.84,0.87,0.78,2012-07-16
John Carter,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Taylor Kitsch', 1: 'Lynn Collins', 2: 'Samantha Morton', 3: 'Willem Dafoe', 4: 'Thomas Haden Church', 5: 'Mark Strong', 6: 'Ciarán Hinds'}",Andrew Stanton,132,2124,0,0,1,260000000,284139100,43.926995,6.1,0.66,0.51,0.51,2012-03-07
Spider-Man 3,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]","{0: 'Tobey Maguire', 1: 'Kirsten Dunst', 2: 'James Franco', 3: 'Thomas Haden Church', 4: 'Topher Grace', 5: 'Bryce Dallas Howard', 6: 'Rosemary Harris'}",Sam Raimi,139,3576,1,0,1,258000000,890871626,115.699814,5.9,0.62,0.63,0.59,2007-05-01
Tangled,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Zachary Levi', 1: 'Mandy Moore', 2: 'Donna Murphy', 3: 'Ron Perlman', 4: 'M.C. Gainey', 5: 'Jeffrey Tambor', 6: 'Brad Garrett'}",Nathan Greno,100,3330,0,0,0,260000000,591794936,48.681969,7.4,0.78,0.89,0.71,2010-11-24
Avengers: Age of Ultron,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Robert Downey Jr.', 1: 'Chris Hemsworth', 2: 'Mark Ruffalo', 3: 'Chris Evans', 4: 'Scarlett Johansson', 5: 'Jeremy Renner', 6: 'James Spader'}",Joss Whedon,141,6767,0,1,1,280000000,1405403694,134.279229,7.3,0.74,0.75,0.66,2015-04-22
Harry Potter and the Half-Blood Prince,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Daniel Radcliffe', 1: 'Rupert Grint', 2: 'Emma Watson', 3: 'Tom Felton', 4: 'Michael Gambon', 5: 'Jim Broadbent', 6: 'Helena Bonham Carter'}",David Yates,153,5293,1,1,1,250000000,933959197,98.885637,7.4,0.76,0.84,0.78,2009-07-07
Batman v Superman: Dawn of Justice,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Ben Affleck', 1: 'Henry Cavill', 2: 'Gal Gadot', 3: 'Amy Adams', 4: 'Jesse Eisenberg', 5: 'Diane Lane', 6: 'Jeremy Irons'}",Zack Snyder,151,7004,0,0,1,250000000,873260194,155.790452,5.7,0.66,0.27,0.44,2016-03-23
Superman Returns,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Brandon Routh', 1: 'Kevin Spacey', 2: 'Kate Bosworth', 3: 'James Marsden', 4: 'Parker Posey', 5: 'Frank Langella', 6: 'Sam Huntington'}",Bryan Singer,154,1400,0,0,1,270000000,391081192,57.925623,5.4,0.61,0.75,0.72,2006-06-28
Quantum of Solace,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]","{0: 'Daniel Craig', 1: 'Olga Kurylenko', 2: 'Mathieu Amalric', 3: 'Judi Dench', 4: 'Giancarlo Giannini', 5: 'Gemma Arterton', 6: 'Jeffrey Wright'}",Marc Forster,106,2965,0,1,1,200000000,586090727,107.928811,6.1,0.66,0.65,0.58,2008-10-30
Pirates of the Caribbean: Dead Man's Chest,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]","{0: 'Johnny Depp', 1: 'Orlando Bloom', 2: 'Keira Knightley', 3: 'Stellan Skarsgård', 4: 'Bill Nighy', 5: 'Jack Davenport', 6: 'Kevin McNally'}",Gore Verbinski,151,5246,0,1,1,200000000,1065659812,145.847379,7,0.73,0.54,0.53,2006-06-20
